순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,29225
2,레포츠,스키,18587
3,레포츠,캠핑,15040
4,레포츠,등산,14062
5,기타,투어,10387
6,레포츠,산행,7733
7,휴식/힐링,즐길거리,6979
8,레포츠,서핑,6208
9,휴식/힐링,겨울여행,5576
10,휴식/힐링,휴양,5261
11,레포츠,낚시,5221
12,휴식/힐링,나들이,4801
13,휴식/힐링,불멍,4784
14,레포츠,차박,4097
15,휴식/힐링,호캉스,3720
16,레포츠,트레킹,3365
17,레포츠,레저,3093
18,레포츠,글램핑,2771
19,기타,해외여행,2499
20,휴식/힐링,피크닉,1967
21,미식,카페투어,1965
22,기타,데이트코스,1819
23,휴식/힐링,물멍,1772
24,휴식/힐링,야영,1734
25,미식,먹부림,1590
26,휴식/힐링,힐링여행,1586
27,레포츠,오토캠핑,1555
28,기타,답사,1284
29,레포츠,트래킹,1203
30,레포츠,레포츠,1195
31,레포츠,백패킹,1182
32,휴식/힐링,신혼여행,1123
33,휴식/힐링,바다멍,1075
34,레포츠,스노우보드,1066
35,기타,제주여행,1037
36,미식,맛집투어,884
37,체험,수학여행,872
38,기타,제주도여행,843
39,미식,맛집탐방,792
40,체험,템플스테이,724
41,휴식/힐링,재충전,703
42,미식,빵지순례,695
43,레포츠,바다낚시,692
44,레포츠,래프팅,673
45,기타,기차여행,664
46,레포츠,패러글라이딩,645
47,레포츠,오프로드,637
48,레포츠,짚라인,602
49,레포츠,감성캠핑,562
50,레포츠,하이킹,557
51,휴식/힐링,우정여행,523
52,휴식/힐링,가을여행,509
53,휴식/힐링,드라이브코스,505
53,레포츠,해양레저,505
55,레포츠,스노클링,491
56,체험,동물체험,488
57,휴식/힐링,생태관광,454
58,레포츠,스쿠버,435
58,레포츠,골프여행,435
60,레포츠,카약,433
61,기타,추억여행,432
62,휴식/힐링,태교여행,421
63,레포츠,캠프파이어,419
64,레포츠,캠핑족,411
65,레포츠,클라이밍,408
66,레포츠,스키여행,406
67,레포츠,노지캠핑,392
68,레포츠,스킨스쿠버,383
69,기타,부산여행,382
70,미식,먹방여행,375
71,휴식/힐링,테라피,363
72,미식,바베큐파티,351
73,휴식/힐링,봄여행,346
74,체험,농촌체험,332
75,휴식/힐링,산멍,300
76,레포츠,스노쿨링,276
77,휴식/힐링,즉흥여행,272
78,체험,갯벌체험,271
79,레포츠,스쿠버다이빙,262
80,기타,걷기여행,261
81,레포츠,번지점프,250
82,기타,도보여행,243
83,레포츠,암벽등반,238
84,휴식/힐링,눈꽃여행,235
85,휴식/힐링,일광욕,232
86,체험,농장체험,227
86,체험,목장체험,227
88,레포츠,수상레저,226
89,휴식/힐링,워케이션,223
90,레포츠,골프투어,222
91,레포츠,빙벽등반,219
92,기타,자유여행,215
93,휴식/힐링,감성여행,214
94,휴식/힐링,파도멍,203
95,기타,유럽여행,195
95,휴식/힐링,촌캉스,195
97,기타,일출여행,190
98,미식,먹킷리스트,189
99,기타,스탬프투어,184
100,미식,고기파티,182
101,레포츠,루어낚시,181
102,레포츠,글라이더,180
103,미식,식도락여행,178
103,체험,생태체험,178
105,휴식/힐링,온천여행,174
106,기타,배낭여행,169
107,휴식/힐링,일출뷰,168
108,체험,먹이주기체험,164
109,레포츠,레저스포츠,160
110,체험,어촌체험,152
110,체험,vr체험,152
112,휴식/힐링,차크닉,150
113,레포츠,게이트볼,149
114,체험,승마체험,132
115,휴식/힐링,단풍놀이,129
116,체험,숲체험,128
116,체험,한옥스테이,128
116,기타,세계여행,128
119,휴식/힐링,허니문,127
120,레포츠,산악자전거,126
121,레포츠,트레일러닝,124
121,휴식/힐링,낭만여행,124
123,휴식/힐링,숲캉스,120
123,레포츠,프리다이빙,120
125,레포츠,수상스키,117
126,체험,시티투어,114
126,레포츠,카라반캠핑,114
128,미식,애프터눈티,112
129,레포츠,써핑,110
130,레포츠,캠핑여행,108
130,기타,테마여행,108
132,기타,일본여행,103
132,레포츠,패들보드,103
134,기타,패키지여행,102
135,레포츠,해양스포츠,100
136,기타,기념여행,99
137,체험,쿠킹클래스,96
138,기타,자전거여행,95
139,기타,졸업여행,94
140,기타,해돋이여행,93
141,체험,낚시체험,92
142,레포츠,해양레포츠,86
143,레포츠,스킨스쿠버다이빙,84
144,체험,버스투어,80
145,레포츠,숏스키,78
146,레포츠,민물낚시,76
147,기타,역사여행,75
148,휴식/힐링,집콕생활,72
148,휴식/힐링,요트투어,72
150,휴식/힐링,노을뷰,71
151,미식,빵투어,68
151,레포츠,스노우보딩,68
151,휴식/힐링,북캉스,68
154,체험,갯배체험,67
155,체험,한옥체험,66
155,휴식/힐링,근교여행,66
157,레포츠,제트스키,62
158,기타,야외취침,61
158,레포츠,ssi,61
160,체험,딸기체험,60
161,휴식/힐링,펫캉스,59
161,레포츠,padi,59
163,휴식/힐링,시골여행,58
163,휴식/힐링,숲멍,58
165,레포츠,윈드서핑,56
166,기타,세계일주,55
167,레포츠,오픈워터,54
168,기타,무전여행,52
168,체험,요트체험,52
170,레포츠,낚시여행,51
171,체험,루지체험,50
172,체험,건초주기체험,49
173,레포츠,웨이크보드,46
173,체험,카트체험,46
175,체험,전쟁체험,44
175,휴식/힐링,드라이브여행,44
177,체험,족욕체험,43
177,체험,목공예체험,43
177,체험,카누체험,43
177,체험,한복체험,43
181,체험,도자기체험,42
181,레포츠,스케이트보드,42
183,체험,선상낚시체험,41
183,체험,택시투어,41
183,레포츠,수상레져,41
186,레포츠,모토캠핑,40
187,체험,수확체험,39
188,레포츠,스쿼시,38
189,레포츠,bmx,37
190,레포츠,배스낚시,36
190,휴식/힐링,일몰뷰,36
192,레포츠,캠핑라이프,34
192,체험,야경투어,34
194,레포츠,제트보트,33
195,체험,역사체험,32
195,휴식/힐링,숙소콕,32
195,미식,삼겹살파티,32
195,체험,숙박체험,32
199,레포츠,행글라이더,31
199,휴식/힐링,책맥,31
201,레포츠,페러글라이딩,30
201,기타,데이트스냅,30
201,휴식/힐링,옥캉스,30
201,레포츠,서바이벌게임,30
201,레포츠,캠프닉,30
201,체험,양먹이주기체험,30
201,체험,해양레저체험,30
201,휴식/힐링,홈캉스,30
201,체험,공예체험,30
210,휴식/힐링,하늘멍,29
211,미식,먹부림여행,28
211,레포츠,스카이다이빙,28
213,레포츠,견지낚시,27
213,기타,도시여행,27
213,레포츠,캠크닉,27
213,미식,맥주파티,27
213,체험,공방체험,27
218,휴식/힐링,벚꽃여행,26
218,체험,동물먹이주기체험,26
220,레포츠,산악오토바이,25
220,레포츠,클레이사격,25
220,체험,해양체험,25
223,레포츠,cmas,24
223,체험,서핑체험,24
223,기타,소싸움,24
223,레포츠,알빙,24
227,기타,중국여행,23
227,체험,미술체험,23
227,체험,알파카체험,23
227,기타,자전거투어,23
231,휴식/힐링,스테이케이션,22
231,휴식/힐링,홈캠핑,22
231,레포츠,바나나보트,22
231,휴식/힐링,농촌여행,22
231,체험,동굴체험,22
236,기타,미국여행,21
236,체험,물레체험,21
238,체험,요리체험,20
239,체험,동물먹이체험,19
239,체험,도예체험,19
241,체험,달고나체험,18
241,체험,놀이체험,18
241,체험,목공체험,18
241,레포츠,원스키,18
245,기타,동남아여행,17
245,체험,명상체험,17
245,체험,원예체험,17
245,휴식/힐링,크루즈여행,17
245,레포츠,워터슬레이,17
250,체험,바다낚시체험,16
250,기타,오지여행,16
252,레포츠,수상스포츠,15
252,레포츠,스킨다이빙,15
252,미식,먹거리투어,15
252,체험,카약체험,15
252,체험,우유주기체험,15
252,레포츠,패러세일링,15
252,체험,유리공예체험,15
259,체험,농사체험,14
259,체험,염색체험,14
259,체험,배낚시체험,14
262,체험,다도체험,13
262,기타,청춘여행,13
262,휴식/힐링,키캉스,13
262,미식,먹거리여행,13
262,체험,감귤체험,13
262,체험,치즈체험,13
268,레포츠,아쿠아로빅,12
268,레포츠,스노우쿨링,12
268,휴식/힐링,모캉스,12
268,레포츠,버기카,12
272,체험,민속놀이체험,11
273,체험,보트체험,10
273,기타,열차여행,10
273,휴식/힐링,집캉스,10
273,레포츠,패들보트,10
273,체험,공포체험,10
278,체험,닥터피쉬체험,9
278,체험,맨발체험,9
278,체험,말타기체험,9
278,레포츠,암벽등산,9
282,기타,워킹투어,8
282,레포츠,rving,8
282,미식,미식체험,8
282,체험,탁본체험,8
282,기타,일본관광,8
287,레포츠,골캉스,7
287,레포츠,발야구,7
287,체험,커피체험,7
287,체험,악기체험,7
287,레포츠,애슬레저,7
287,휴식/힐링,석양뷰,7
287,레포츠,행글라이딩,7
294,체험,곤충체험,6
294,체험,향수만들기,6
294,레포츠,씨워킹,6
294,휴식/힐링,카페케이션,6
298,체험,천연염색체험,5
298,체험,바다체험,5
298,레포츠,수상자전거,5
298,레포츠,플라이낚시,5
298,체험,클라이밍체험,5
298,체험,전통놀이체험,5
298,기타,일출투어,5
298,체험,씨티투어,5
298,체험,박물관체험,5
307,체험,물놀이체험,4
307,체험,교복체험,4
307,체험,투명카누체험,4
307,휴식/힐링,구름멍,4
307,체험,고택체험,4
307,체험,사격체험,4
307,체험,마차체험,4
307,레포츠,암벽산행,4
307,체험,조종체험,4
307,휴식/힐링,호텔스테이,4
307,기타,일몰여행,4
307,휴식/힐링,밀월여행,4
319,체험,전통공예체험,3
319,체험,패러글라이딩체험,3
319,휴식/힐링,혼놀,3
319,체험,산림문화체험,3
319,휴식/힐링,몰캉스,3
319,미식,와이너리투어,3
319,체험,증강현실체험,3
319,체험,한옥숙박체험,3
319,체험,담력체험,3
319,레포츠,심해잠수,3
319,체험,해녀체험,3
319,체험,텃밭체험,3
319,레포츠,인공암벽등반,3
332,체험,새먹이체험,2
332,체험,농가체험,2
332,체험,블루베리체험,2
332,레포츠,웨이크서핑,2
332,체험,레일바이크체험,2
332,레포츠,롱스키,2
332,휴식/힐링,카캉스,2
332,체험,비행시뮬레이션,2
332,체험,스노클링체험,2
332,체험,타종체험,2
332,체험,해병대캠프,2
332,체험,다이빙체험,2
332,레포츠,줄없는번지,2
332,레포츠,롤러스케이팅,2
346,휴식/힐링,룸캉스,1
346,미식,빵집순례,1
346,체험,활쏘기체험,1
346,기타,덕질여행,1
346,휴식/힐링,차캉스,1
346,체험,서바이벌체험,1
346,기타,문화재여행,1
346,체험,귀신체험,1
346,체험,국궁체험,1
346,체험,귤체험,1
346,체험,우주체험,1
346,레포츠,실내스키,1
346,체험,어린이승마체험,1
346,레포츠,bsac,1
346,체험,말먹이주기체험,1
346,레포츠,naui,1
346,미식,와인투어,1
346,레포츠,케이빙,1
346,레포츠,블롭점프,1
346,체험,호텔체험,1
346,체험,조개체험,1
346,체험,액티비티체험,1
346,체험,양떼목장체험,1
346,체험,딸기수확체험,1
346,체험,한라봉체험,1
346,체험,다례체험,1
346,체험,목판체험,1
