"시점","통계분류(1)","통계분류(2)",항목,데이터
"2018","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),79.4
"2018","성별","남자",교통수단(항공 선박 철도 버스 등),23.3
"2018","성별","남자",차량대여/렌트,19.9
"2018","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),8.1
"2018","성별","남자",식당,7.4
"2018","성별","남자",관광명소(유적지 국립공원 등),4.9
"2018","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),2.1
"2018","성별","남자",기타,0.5
"2018","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),79.2
"2018","성별","여자",교통수단(항공 선박 철도 버스 등),25.4
"2018","성별","여자",차량대여/렌트,19.9
"2018","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),7.1
"2018","성별","여자",식당,6.9
"2018","성별","여자",관광명소(유적지 국립공원 등),5.3
"2018","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),2.4
"2018","성별","여자",기타,0.6
"2018","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),68.8
"2018","연령","15~19세",교통수단(항공 선박 철도 버스 등),33.7
"2018","연령","15~19세",차량대여/렌트,21.8
"2018","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),18.6
"2018","연령","15~19세",식당,6.4
"2018","연령","15~19세",관광명소(유적지 국립공원 등),7
"2018","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),3.2
"2018","연령","15~19세",기타,1
"2018","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),78.4
"2018","연령","20대",교통수단(항공 선박 철도 버스 등),31.3
"2018","연령","20대",차량대여/렌트,25.3
"2018","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),10.3
"2018","연령","20대",식당,2.8
"2018","연령","20대",관광명소(유적지 국립공원 등),4
"2018","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.6
"2018","연령","20대",기타,0.5
"2018","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),85.8
"2018","연령","30대",교통수단(항공 선박 철도 버스 등),20
"2018","연령","30대",차량대여/렌트,14.7
"2018","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),10.1
"2018","연령","30대",식당,4
"2018","연령","30대",관광명소(유적지 국립공원 등),5
"2018","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),3.2
"2018","연령","30대",기타,1
"2018","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),83
"2018","연령","40대",교통수단(항공 선박 철도 버스 등),18.6
"2018","연령","40대",차량대여/렌트,16.5
"2018","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),5.9
"2018","연령","40대",식당,7.3
"2018","연령","40대",관광명소(유적지 국립공원 등),4.7
"2018","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),1
"2018","연령","40대",기타,0.2
"2018","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),80.4
"2018","연령","50대",교통수단(항공 선박 철도 버스 등),22.7
"2018","연령","50대",차량대여/렌트,19.8
"2018","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),4.3
"2018","연령","50대",식당,10.4
"2018","연령","50대",관광명소(유적지 국립공원 등),3.9
"2018","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.3
"2018","연령","50대",기타,0.3
"2018","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),72.1
"2018","연령","60대",교통수단(항공 선박 철도 버스 등),26
"2018","연령","60대",차량대여/렌트,23.2
"2018","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),5.1
"2018","연령","60대",식당,11.5
"2018","연령","60대",관광명소(유적지 국립공원 등),8.1
"2018","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.6
"2018","연령","60대",기타,0.5
"2018","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),65.7
"2018","연령","70세 이상",교통수단(항공 선박 철도 버스 등),32
"2018","연령","70세 이상",차량대여/렌트,25.5
"2018","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),3.1
"2018","연령","70세 이상",식당,13.7
"2018","연령","70세 이상",관광명소(유적지 국립공원 등),7.3
"2018","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),2.3
"2018","연령","70세 이상",기타,1.1
"2019","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),77.8
"2019","성별","남자",교통수단(항공 선박 철도 버스 등),20.9
"2019","성별","남자",차량대여/렌트,8.5
"2019","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),9.2
"2019","성별","남자",식당,6.5
"2019","성별","남자",관광명소(유적지 국립공원 등),3.2
"2019","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),2.2
"2019","성별","남자",기타,1.1
"2019","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),79
"2019","성별","여자",교통수단(항공 선박 철도 버스 등),23.6
"2019","성별","여자",차량대여/렌트,9.1
"2019","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),7
"2019","성별","여자",식당,6.4
"2019","성별","여자",관광명소(유적지 국립공원 등),3.9
"2019","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),2.6
"2019","성별","여자",기타,0.8
"2019","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),67
"2019","연령","15~19세",교통수단(항공 선박 철도 버스 등),24.5
"2019","연령","15~19세",차량대여/렌트,4.8
"2019","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),14.5
"2019","연령","15~19세",식당,6.8
"2019","연령","15~19세",관광명소(유적지 국립공원 등),2.3
"2019","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),2.9
"2019","연령","15~19세",기타,1.6
"2019","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),76.1
"2019","연령","20대",교통수단(항공 선박 철도 버스 등),29.4
"2019","연령","20대",차량대여/렌트,10
"2019","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),11.1
"2019","연령","20대",식당,3.6
"2019","연령","20대",관광명소(유적지 국립공원 등),2.4
"2019","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),3
"2019","연령","20대",기타,1.2
"2019","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),84.4
"2019","연령","30대",교통수단(항공 선박 철도 버스 등),17.5
"2019","연령","30대",차량대여/렌트,8.6
"2019","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),10.7
"2019","연령","30대",식당,2.7
"2019","연령","30대",관광명소(유적지 국립공원 등),3.6
"2019","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.7
"2019","연령","30대",기타,1
"2019","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),83
"2019","연령","40대",교통수단(항공 선박 철도 버스 등),15.9
"2019","연령","40대",차량대여/렌트,6.1
"2019","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),8.1
"2019","연령","40대",식당,6.4
"2019","연령","40대",관광명소(유적지 국립공원 등),2.2
"2019","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),3.2
"2019","연령","40대",기타,1.1
"2019","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),80.3
"2019","연령","50대",교통수단(항공 선박 철도 버스 등),21.7
"2019","연령","50대",차량대여/렌트,9.7
"2019","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),5.3
"2019","연령","50대",식당,7.9
"2019","연령","50대",관광명소(유적지 국립공원 등),4.7
"2019","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.1
"2019","연령","50대",기타,0.6
"2019","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),73.6
"2019","연령","60대",교통수단(항공 선박 철도 버스 등),25.6
"2019","연령","60대",차량대여/렌트,11.1
"2019","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),3.2
"2019","연령","60대",식당,10.6
"2019","연령","60대",관광명소(유적지 국립공원 등),5.8
"2019","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.1
"2019","연령","60대",기타,0.5
"2019","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),63.2
"2019","연령","70세 이상",교통수단(항공 선박 철도 버스 등),30.8
"2019","연령","70세 이상",차량대여/렌트,10.2
"2019","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),3.3
"2019","연령","70세 이상",식당,14.5
"2019","연령","70세 이상",관광명소(유적지 국립공원 등),4.5
"2019","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),1.4
"2019","연령","70세 이상",기타,1.4
"2020","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),24.4
"2020","성별","남자",교통수단(항공 선박 철도 버스 등),7
"2020","성별","남자",차량대여/렌트,3.2
"2020","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),2
"2020","성별","남자",식당,1.4
"2020","성별","남자",관광명소(유적지 국립공원 등),0.3
"2020","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"2020","성별","남자",기타,0.1
"2020","성별","남자",사전 예약하지 않았음,69.7
"2020","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),25.3
"2020","성별","여자",교통수단(항공 선박 철도 버스 등),8.5
"2020","성별","여자",차량대여/렌트,4.1
"2020","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1.1
"2020","성별","여자",식당,1.7
"2020","성별","여자",관광명소(유적지 국립공원 등),0.6
"2020","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","성별","여자",기타,0.1
"2020","성별","여자",사전 예약하지 않았음,69.2
"2020","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),15.8
"2020","연령","15~19세",교통수단(항공 선박 철도 버스 등),11.2
"2020","연령","15~19세",차량대여/렌트,1.9
"2020","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),3.3
"2020","연령","15~19세",식당,0.9
"2020","연령","15~19세",관광명소(유적지 국립공원 등),0.6
"2020","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","연령","15~19세",사전 예약하지 않았음,72.1
"2020","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),29.9
"2020","연령","20대",교통수단(항공 선박 철도 버스 등),11.4
"2020","연령","20대",차량대여/렌트,4.1
"2020","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),1.7
"2020","연령","20대",식당,0.6
"2020","연령","20대",관광명소(유적지 국립공원 등),0.4
"2020","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","연령","20대",기타,0.1
"2020","연령","20대",사전 예약하지 않았음,62.2
"2020","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),29.4
"2020","연령","30대",교통수단(항공 선박 철도 버스 등),7.9
"2020","연령","30대",차량대여/렌트,4.3
"2020","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2020","연령","30대",식당,1.2
"2020","연령","30대",관광명소(유적지 국립공원 등),0.5
"2020","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2020","연령","30대",기타,0.1
"2020","연령","30대",사전 예약하지 않았음,65.9
"2020","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),26
"2020","연령","40대",교통수단(항공 선박 철도 버스 등),6.4
"2020","연령","40대",차량대여/렌트,3.4
"2020","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.2
"2020","연령","40대",식당,1.5
"2020","연령","40대",관광명소(유적지 국립공원 등),0.4
"2020","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2020","연령","40대",기타,0.2
"2020","연령","40대",사전 예약하지 않았음,69.5
"2020","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),21.6
"2020","연령","50대",교통수단(항공 선박 철도 버스 등),6.4
"2020","연령","50대",차량대여/렌트,3.9
"2020","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),2.1
"2020","연령","50대",식당,2.1
"2020","연령","50대",관광명소(유적지 국립공원 등),0.4
"2020","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","연령","50대",기타,0
"2020","연령","50대",사전 예약하지 않았음,73.7
"2020","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),18.1
"2020","연령","60대",교통수단(항공 선박 철도 버스 등),5.1
"2020","연령","60대",차량대여/렌트,2
"2020","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),1
"2020","연령","60대",식당,2.6
"2020","연령","60대",관광명소(유적지 국립공원 등),0.4
"2020","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2020","연령","60대",기타,0.1
"2020","연령","60대",사전 예약하지 않았음,76.1
"2020","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),9.1
"2020","연령","70세 이상",교통수단(항공 선박 철도 버스 등),5.7
"2020","연령","70세 이상",차량대여/렌트,3.3
"2020","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),0.6
"2020","연령","70세 이상",식당,3.4
"2020","연령","70세 이상",관광명소(유적지 국립공원 등),0.6
"2020","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),0.1
"2020","연령","70세 이상",기타,0.3
"2020","연령","70세 이상",사전 예약하지 않았음,84.3
"2021","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),24.8
"2021","성별","남자",교통수단(항공 선박 철도 버스 등),6.7
"2021","성별","남자",차량대여/렌트,3.5
"2021","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"2021","성별","남자",식당,1
"2021","성별","남자",관광명소(유적지 국립공원 등),0.7
"2021","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2021","성별","남자",기타,0
"2021","성별","남자",사전 예약하지 않았음,70.9
"2021","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),24.9
"2021","성별","여자",교통수단(항공 선박 철도 버스 등),8.6
"2021","성별","여자",차량대여/렌트,4.9
"2021","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1.2
"2021","성별","여자",식당,1.3
"2021","성별","여자",관광명소(유적지 국립공원 등),0.4
"2021","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2021","성별","여자",기타,0.2
"2021","성별","여자",사전 예약하지 않았음,70.6
"2021","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),21.3
"2021","연령","15~19세",교통수단(항공 선박 철도 버스 등),10.4
"2021","연령","15~19세",차량대여/렌트,2.2
"2021","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),3.3
"2021","연령","15~19세",식당,1.2
"2021","연령","15~19세",관광명소(유적지 국립공원 등),0.4
"2021","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),0.4
"2021","연령","15~19세",사전 예약하지 않았음,70
"2021","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),29.3
"2021","연령","20대",교통수단(항공 선박 철도 버스 등),11.2
"2021","연령","20대",차량대여/렌트,5.6
"2021","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2021","연령","20대",식당,0.9
"2021","연령","20대",관광명소(유적지 국립공원 등),0.6
"2021","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2021","연령","20대",기타,0.3
"2021","연령","20대",사전 예약하지 않았음,65.3
"2021","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),28.8
"2021","연령","30대",교통수단(항공 선박 철도 버스 등),8
"2021","연령","30대",차량대여/렌트,5
"2021","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2021","연령","30대",식당,0.5
"2021","연령","30대",관광명소(유적지 국립공원 등),0.6
"2021","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.9
"2021","연령","30대",기타,0.1
"2021","연령","30대",사전 예약하지 않았음,67.3
"2021","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),25.4
"2021","연령","40대",교통수단(항공 선박 철도 버스 등),6.7
"2021","연령","40대",차량대여/렌트,4.4
"2021","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"2021","연령","40대",식당,1.1
"2021","연령","40대",관광명소(유적지 국립공원 등),0.6
"2021","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2021","연령","40대",기타,0.1
"2021","연령","40대",사전 예약하지 않았음,70.8
"2021","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),22.8
"2021","연령","50대",교통수단(항공 선박 철도 버스 등),6.3
"2021","연령","50대",차량대여/렌트,3.8
"2021","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2021","연령","50대",식당,1.6
"2021","연령","50대",관광명소(유적지 국립공원 등),0.5
"2021","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2021","연령","50대",기타,0
"2021","연령","50대",사전 예약하지 않았음,72.8
"2021","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),18.5
"2021","연령","60대",교통수단(항공 선박 철도 버스 등),5.4
"2021","연령","60대",차량대여/렌트,2.6
"2021","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),0.8
"2021","연령","60대",식당,1.4
"2021","연령","60대",관광명소(유적지 국립공원 등),0.5
"2021","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2021","연령","60대",사전 예약하지 않았음,78.2
"2021","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),11
"2021","연령","70세 이상",교통수단(항공 선박 철도 버스 등),4.4
"2021","연령","70세 이상",차량대여/렌트,0.9
"2021","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),0.7
"2021","연령","70세 이상",식당,2
"2021","연령","70세 이상",관광명소(유적지 국립공원 등),0.5
"2021","연령","70세 이상",기타,0.3
"2021","연령","70세 이상",사전 예약하지 않았음,83.9
"2022","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),28.6
"2022","성별","남자",교통수단(항공 선박 철도 버스 등),7.1
"2022","성별","남자",차량대여/렌트,3.9
"2022","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),2.1
"2022","성별","남자",식당,1.1
"2022","성별","남자",관광명소(유적지 국립공원 등),0.5
"2022","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","성별","남자",기타,0.1
"2022","성별","남자",사전 예약하지 않았음,66.4
"2022","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),29
"2022","성별","여자",교통수단(항공 선박 철도 버스 등),8.9
"2022","성별","여자",차량대여/렌트,4.9
"2022","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2022","성별","여자",식당,1.1
"2022","성별","여자",관광명소(유적지 국립공원 등),0.6
"2022","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","성별","여자",기타,0.2
"2022","성별","여자",사전 예약하지 않았음,66.5
"2022","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),25.6
"2022","연령","15~19세",교통수단(항공 선박 철도 버스 등),12.2
"2022","연령","15~19세",차량대여/렌트,3.8
"2022","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),3.3
"2022","연령","15~19세",식당,1
"2022","연령","15~19세",관광명소(유적지 국립공원 등),0.7
"2022","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),1.1
"2022","연령","15~19세",기타,1.1
"2022","연령","15~19세",사전 예약하지 않았음,64.9
"2022","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),32
"2022","연령","20대",교통수단(항공 선박 철도 버스 등),13
"2022","연령","20대",차량대여/렌트,6
"2022","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),2.3
"2022","연령","20대",식당,0.7
"2022","연령","20대",관광명소(유적지 국립공원 등),0.4
"2022","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2022","연령","20대",기타,0.3
"2022","연령","20대",사전 예약하지 않았음,61.2
"2022","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),33.4
"2022","연령","30대",교통수단(항공 선박 철도 버스 등),8.5
"2022","연령","30대",차량대여/렌트,5
"2022","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"2022","연령","30대",식당,0.7
"2022","연령","30대",관광명소(유적지 국립공원 등),0.6
"2022","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.5
"2022","연령","30대",기타,0.2
"2022","연령","30대",사전 예약하지 않았음,62.4
"2022","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),31.2
"2022","연령","40대",교통수단(항공 선박 철도 버스 등),5.9
"2022","연령","40대",차량대여/렌트,4.1
"2022","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.8
"2022","연령","40대",식당,1.2
"2022","연령","40대",관광명소(유적지 국립공원 등),0.5
"2022","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2022","연령","40대",기타,0.1
"2022","연령","40대",사전 예약하지 않았음,65.1
"2022","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),27.4
"2022","연령","50대",교통수단(항공 선박 철도 버스 등),6.4
"2022","연령","50대",차량대여/렌트,4.3
"2022","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2022","연령","50대",식당,1
"2022","연령","50대",관광명소(유적지 국립공원 등),0.5
"2022","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","연령","50대",기타,0
"2022","연령","50대",사전 예약하지 않았음,69.2
"2022","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),22.2
"2022","연령","60대",교통수단(항공 선박 철도 버스 등),6.2
"2022","연령","60대",차량대여/렌트,3.2
"2022","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2022","연령","60대",식당,1.9
"2022","연령","60대",관광명소(유적지 국립공원 등),0.5
"2022","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2022","연령","60대",기타,0.1
"2022","연령","60대",사전 예약하지 않았음,72.9
"2022","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),15.6
"2022","연령","70세 이상",교통수단(항공 선박 철도 버스 등),5.5
"2022","연령","70세 이상",차량대여/렌트,2.3
"2022","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),0.2
"2022","연령","70세 이상",식당,1.9
"2022","연령","70세 이상",관광명소(유적지 국립공원 등),0.8
"2022","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),0
"2022","연령","70세 이상",사전 예약하지 않았음,78.5
